center 1,center 2
0.030754438,0.014545199
0.15660888,0.041355878
0.20094228,0.31755856
-0.107077494,0.10227473
-0.61160094,-0.48498935
0.00036920793,-0.051107794
0.12583095,0.051679302
0.15071684,0.05949478
-0.15586229,-0.16556844
-0.054615486,-0.08721039
-0.1376444,-0.17329344
-0.2868253,-0.18359047
-0.06894584,-0.061674528
-0.011394393,-0.021896897
0.18107735,0.17664759
0.12696725,0.28113818
-0.11696735,-0.10562928
0.10811885,0.10804548
0.057223927,0.04511961
-0.0695668,-0.10741187
-0.10924584,-0.14758237
-0.3045992,-0.36300188
0.3142597,0.2529332
-0.33330217,-0.3705243
-0.058880903,-0.029657153
-0.13641778,-0.06644569
-0.17944972,-0.11518566
-0.08109741,0.049646314
-0.20264478,-0.18129474
0.13347486,0.08228247
-0.12392001,-0.11769258
0.020611664,0.09200831
-0.07861194,-0.0035908334
0.2436938,0.19967061
0.008372033,-2.450589e-05
-0.05786136,-0.042586837
0.051650524,0.018935638
-0.22854546,-0.107910745
-0.015372486,0.07942003
0.095503494,0.12117853
0.0909464,0.07130584
0.12592167,0.055074595
0.06950742,-0.125173
-0.04511167,0.011004493
-0.16279255,-0.07102131
-0.27966553,-0.3386755
0.12544674,0.015266426
-0.22095418,-0.13058771
0.03513031,0.14798966
0.17668332,0.29200408
0.12794304,0.16215156
-0.0150109995,0.049626272
0.021121008,0.13200882
-0.112155914,-0.0050276592
-0.06352404,-0.15143248
-0.169244,-0.030544654
-0.08911343,-0.1494395
0.030908367,0.057484277
0.44917366,0.47174445
0.0065562353,-0.004706624
-0.30328467,-0.22321114
-0.012475856,-0.027231837
-0.25317976,-0.20382284
0.10044796,0.16426148
0.22877833,0.1256851
0.19004057,0.15675302
-0.041982085,-0.113928184
0.23318942,0.21913332
0.050722,-0.0810292
0.34602442,0.3146165
0.105254605,0.13656852
0.07522825,0.1529246
-0.09333508,-0.085649654
-0.08857301,0.037109595
0.0008898423,0.007874459
-0.28428406,-0.26904413
-0.21677041,-0.109902404
-0.04319384,0.018499013
-0.30526912,-0.16625623
-0.34582424,-0.22203946
0.21708924,0.19647053
0.2253268,0.3968076
-0.27219516,-0.34921637
-0.09367704,-0.10227777
0.07042262,0.110605046
-0.12390319,-0.16375864
-0.18967932,-0.17120974
